index,Hospital Name,Address,Phone No.,Email Address,lat,lng,Website Url,country,state,city,Star,Rating,Pincode,primary_category_name,Category Name
18,Anil Eye Hospital,"Shop No 6 Ground Floor, SOLITAIRE COSMOS JEWELS, Ghodbunder Rd, Kavesar, Thane West, Thane, Maharashtra 400615, India",+91 81697 51850,anileyehospital0@gmail.com,19.2584567,72.9684179,https://anileyehospital.com/best-eye-hospital-in-thane/,India,Maharashtra,Mumbai,4.8,196,400615,Ophthalmologists,"Ophthalmologists,Eye care centers,Ophthalmology clinics"
19,Palash Eye & Dental Hospital Usmanpura - Dr Mit Patel & Dr Yama Patel,"406 Vedanta, AMC Office, opposite West Zone, Sattar Taluka Society, Usmanpura, Ahmedabad, Gujarat 380014, India",+91 63543 44373,drmitgandhinagar@gmail.com,23.0466308,72.5691359,https://www.palasheyehospital.in/,India,Gujarat,Ahmedabad,5,28,380014,Ophthalmologists,"Periodontists,Ophthalmology clinics,Ophthalmologists,Eye care centers,Optometrists,Hospitals,Dentists,Dental clinics,Medical clinics"
20,Nakshatra Superspeciality Eye Hospital,"Prime City Center, Datta Mandir Rd, beside Polaris hospital, Shankar Kalat Nagar, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057, India",+91 81696 48197,nakshatraeyehospital@gmail.com,18.5999182,73.7634959,http://www.nakshatraeyehospital.in/,India,Maharashtra,Pune,4.8,493,411057,Ophthalmologists,"Eye care centers,Ophthalmologists,Hospitals"
21,GURUDRISHTI NETRALAYA AND SUPER SPECIALITY HOSPITAL,"Warora Naka, Nagpur Rd, opp. Government ITI, Civil Lines, Chandrapur, Maharashtra 442401, India",+91 70280 27228,ldbemshingna@gmail.com,19.9693553,79.2905197,https://gurudrishtinetralaya.online/,India,Maharashtra,Chandrapur,4.1,7,442401,Ophthalmologists,Ophthalmologists
22,Dr. Debraj Shome,"Ground floor polyclinic, Saifee hospital, No. 15/17, Maharshi Karve Road, Opp. Charni Road Railway Station, Mumbai, Maharashtra 400004, India",+91 70280 65165,info@debrajshome.com,18.952508,72.818199,http://www.debrajshome.com/,India,Maharashtra,Mumbai,3.9,56,400004,Ophthalmologists,"Doctors,Cosmetic surgeons,Transplant surgeons,Surgeons,Ophthalmologists"
23,Dr. Vivek Gaikwad's Hridayaksha Heart & Eye Clinic | Best Cardiologist In Pune,"1182/1/5, Anand Apartments, Fergusson College Rd, near Vidyarthi Sahayyak Samiti, opp. Hotel Lalit Mahal, Shivajinagar, Pune, Maharashtra 411005, India",+91 81778 27714,info@hridayaksha.com,18.5282761,73.8436547,http://www.hridayaksha.com/,India,Maharashtra,Pune,4.9,370,411005,Ophthalmologists,"Eye care centers,Ophthalmologists,Cardiologists,Doctors,Medical clinics,Hospitals,Heart hospitals"
24,Bavishi Eye Hospitals,"Relief Cinema, Relief Rd, near Hotel Capri, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India",+91 87330 26440,info@bavishieyehospitals.com,23.0265009,72.5826527,https://bavishieyehospitals.com/,India,Gujarat,Ahmedabad,4.6,126,380001,Ophthalmologists,"Optometrists,Ophthalmologists,Ophthalmology clinics,Lasik surgeons,Pediatric ophthalmologists,Eye care centers,Hospitals,Doctors,Surgeons,Medical clinics"
25,Green City Eye Clinic -Best Eye Hospital | Eye Treatment | Glaucoma | Retina | Eye Surgeon | Nagpur,"F-5 & 6, 1st, Anjuman Complex, Sadar, Nagpur, Maharashtra 440001, India",+91 97439 02118,kshadab87@gmail.com,21.1644385,79.0797642,https://www.greencityeyeclinic.com/,India,Maharashtra,Nagpur,5,112,440001,Ophthalmologists,"Eye care centers,Ophthalmologists,Lasik surgeons,Ophthalmology clinics,Doctors,Hospitals,Surgeons"
26,Best Eye Hospital in Nagpur - Cataract & Lasik | Retinal Treatments | Retinopathy | Squint,"Chamber No. 3, Rokade Bhawan, Plot No. 49, SD Hospital Rd, Ganesh Nagar, Azamshah Layout, Nagpur, Maharashtra 440009, India",+91 63664 47591,help@pristyncare.com,21.1379724,79.1163733,https://www.pristyncare.com/nagpur/c/ophthalmology/?utm_source=gmb&utm_medium=organic&utm_campaign=hospital-gmb,India,Maharashtra,Nagpur,1,1,440009,Ophthalmologists,"Lasik surgeons,Ophthalmology clinics,Eye care centers,Specialized clinics,Ophthalmologists,Doctors,Surgeons,Medical Centers,Medical clinics,Walk-in clinics"
27,Mahaveer Eye Hospital,"202, second floor, Mandot tower, opposite Shantinagar society, Kondhwa Budruk, Maharashtra 411046, India",+91 76667 63255,info@mahaveerhospital.com,18.4593942,73.8775792,http://www.mahaveereyehospital.com/,India,Maharashtra,Pune,3.7,3,411046,Ophthalmologists,"Ophthalmologists,Eye care centers,Ophthalmology clinics,Lasik surgeons"
28,Shubham Eye Hospital,"302, Devnandan ( M- Block), Medical Complex,, Nr. Chanakyapuri Over Bridge,, Ghatlodia, Ahmedabad, Gujarat 380061, India",+91 92271 50152,shubhameyecare@yahoo.com,23.0763824,72.5384127,http://www.shubhameyehospital.com/,India,Gujarat,Ahmedabad,4.8,72,380061,Ophthalmologists,"Pediatric ophthalmologists,Ophthalmologists,Pain control clinics,Eye care centers,Hospitals,Dermatologists,Medical Centers,Optometrists"
29,Best Eye Hospital in Nagpur - Cataract & Lasik | Retinal Treatments | Retinopathy | Squint,"Chamber No. 7, 1st Floor, Kamla Towers, Kamptee Rd, near Jaswant Inox, Near Indora Chowk, New Indora, Nagpur, Maharashtra 440017, India",+91 76698 86418,help@pristyncare.com,21.1731993,79.1007344,https://www.pristyncare.com/nagpur/c/ophthalmology/?utm_source=gmb&utm_medium=organic&utm_campaign=hospital-gmb,India,Maharashtra,Nagpur,4.6,40,440017,Ophthalmologists,"Surgical centers,Ophthalmologists,Specialized clinics,Eye care centers,Ophthalmology clinics,Specialized hospitals,Lasik surgeons,Surgeons,Walk-in clinics,Doctors"
30,Naavya Eye Care - Dr. Chandni Kotak,"House, E block, G, 74, Nepean Sea Rd, Simla Nagar, Malabar Hill, Simla, Mumbai, Maharashtra 400036, India",+91 79779 98962,naavyaeyecare@gmail.com,18.9590785,72.8019691,http://naavyaeyecare.in/,India,Maharashtra,Mumbai,4.9,46,400036,Ophthalmologists,"Pediatric ophthalmologists,Lasik surgeons,Ophthalmology clinics,Doctors,Eye care centers,Ophthalmologists,Hospitals,Medical clinics"
